Order Date,Order ID,Quantity,Customer Name,Segment,Product Name,Category,Manufacturer,City,State,Region,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Sales,unit price,sub category,shipping price,month,name_city_state,order_category,retail_price,Diff_ship_order
1/13/2015,CA-2015-100972,3,Dennis Bolton,Home Office,Xerox 1888,Office Supplies,Xerox,Salt Lake City,Utah,West,1/16/2015,Second Class,0,80,0.48,166,55.33,Paper,0.28,1,"Dennis Bolton, Salt Lake City, Utah",High,55.33,3
1/13/2015,CA-2015-101266,2,Michael Moore,Consumer,Xerox 1898,Office Supplies,Xerox,Springfield,Virginia,South,1/14/2015,Second Class,0,6,0.48,13,6.5,Paper,8.55,1,"Michael Moore, Springfield, Virginia",Low,6.5,1
1/14/2015,CA-2015-101392,7,Ann Steele,Home Office,Advantus Rolling Drawer Organizers,Office Supplies,Advantus,Seattle,Washington,West,1/24/2015,Standard Class,0,70,0.26,269,38.43,Storage,7,1,"Ann Steele, Seattle, Washington",High,38.43,10
1/15/2015,CA-2015-101427,3,Andy Yotov,Corporate,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Office Supplies,Eldon,Philadelphia,Pennsylvania,East,1/18/2015,Standard Class,0.2,1,0.14,8,3.33,Art,7.98,1,"Andy Yotov, Philadelphia, Pennsylvania",Low,3.33,3
1/16/2015,CA-2015-101560,4,Chris Selesnick,Corporate,Crayola Colored Pencils,Office Supplies,Crayola,Columbia,South Carolina,South,1/28/2015,Second Class,0,4,0.33,13,3.25,Art,9.62,1,"Chris Selesnick, Columbia, South Carolina",Low,3.25,12
1/16/2015,CA-2015-101476,1,Shirley Daniels,Home Office,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Technology,Epson,New Rochelle,New York,East,1/19/2015,First Class,0,30,0.43,70,70,Machines,18.39,1,"Shirley Daniels, New Rochelle, New York",Low,70,3
1/16/2015,CA-2015-101560,3,Chris Selesnick,Corporate,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,GBC,Columbia,South Carolina,South,1/28/2015,Second Class,0,22,0.49,46,15.33,Binders,9.62,1,"Chris Selesnick, Columbia, South Carolina",Low,15.33,12
1/16/2015,CA-2015-101462,4,Benjamin Patterson,Consumer,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,GE,Los Angeles,California,West,1/20/2015,Standard Class,0,28,0.46,60,15,Furnishings,14.86,1,"Benjamin Patterson, Los Angeles, California",Low,15,4
1/18/2015,CA-2015-101560,7,Chris Selesnick,Corporate,Xerox 1933,Office Supplies,Xerox,Columbia,South Carolina,South,1/28/2015,Second Class,0,40,0.47,86,12.29,Paper,9.62,1,"Chris Selesnick, Columbia, South Carolina",Low,12.29,10
1/19/2015,CA-2015-101602,3,Mick Crebagga,Consumer,ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Other,El Paso,Texas,Central,1/31/2015,First Class,0.2,-9,-0.23,41,17.08,Phones,15.45,1,"Mick Crebagga, El Paso, Texas",Loss,17.08,12
1/19/2015,CA-2015-101770,1,Karen Bern,Corporate,Avery Hole Reinforcements,Office Supplies,Avery,Miami,Florida,South,1/25/2015,Standard Class,0.7,-1,-0.7,2,6.67,Binders,7.26,1,"Karen Bern, Miami, Florida",Loss,6.67,6
1/19/2015,CA-2015-101560,5,Chris Selesnick,Corporate,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Eldon,Columbia,South Carolina,South,1/28/2015,Second Class,0,44,0.11,398,79.6,Furnishings,9.62,1,"Chris Selesnick, Columbia, South Carolina",High,79.6,9
1/19/2015,CA-2015-101602,5,Mick Crebagga,Consumer,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Other,El Paso,Texas,Central,1/31/2015,First Class,0.3,-22,-0.03,763,218,Chairs,15.45,1,"Mick Crebagga, El Paso, Texas",Loss,218,12
1/20/2015,CA-2015-102330,6,Arianne Irving,Consumer,Alphabetical Labels for Top Tab Filing,Office Supplies,Other,Brentwood,California,West,1/31/2015,Standard Class,0,44,0.5,89,14.83,Labels,9.86,1,"Arianne Irving, Brentwood, California",High,14.83,11
1/20/2015,CA-2015-102085,4,Joy Daniels,Consumer,Avery 519,Office Supplies,Avery,Seattle,Washington,West,1/22/2015,Standard Class,0,14,0.47,29,7.25,Labels,7,1,"Joy Daniels, Seattle, Washington",Low,7.25,2
1/20/2015,CA-2015-101931,2,Todd Sumrall,Corporate,Avery Non-Stick Binders,Office Supplies,Avery,Los Angeles,California,West,1/23/2015,First Class,0.2,2,0.31,7,4.38,Binders,18.39,1,"Todd Sumrall, Los Angeles, California",Low,4.38,3
1/20/2015,CA-2015-101931,5,Todd Sumrall,Corporate,Eldon Portable Mobile Manager,Office Supplies,Eldon,Los Angeles,California,West,1/23/2015,First Class,0,38,0.27,141,28.2,Storage,18.39,1,"Todd Sumrall, Los Angeles, California",Low,28.2,3
1/20/2015,CA-2015-102295,1,Erica Hackney,Consumer,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Global,Sacramento,California,West,1/28/2015,Second Class,0.2,-18,-0.15,121,151.25,Chairs,7.86,1,"Erica Hackney, Sacramento, California",Loss,151.25,8
1/20/2015,CA-2015-102330,4,Arianne Irving,Consumer,HTC One,Technology,HTC,Brentwood,California,West,1/31/2015,Standard Class,0.2,36,0.11,320,100,Phones,9.86,1,"Arianne Irving, Brentwood, California",High,100,11
1/20/2015,CA-2015-102274,1,Dave Hallsten,Corporate,"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Logitech,Richmond,Kentucky,South,1/21/2015,Standard Class,0,10,0.27,37,37,Phones,12.51,1,"Dave Hallsten, Richmond, Kentucky",Low,37,1
1/20/2015,CA-2015-102274,6,Dave Hallsten,Corporate,Multicolor Computer Printout Paper,Office Supplies,Other,Richmond,Kentucky,South,1/21/2015,Standard Class,0,302,0.48,629,104.83,Paper,12.51,1,"Dave Hallsten, Richmond, Kentucky",High,104.83,1
1/20/2015,CA-2015-102274,3,Dave Hallsten,Corporate,Newell 322,Office Supplies,Newell,Richmond,Kentucky,South,1/21/2015,Standard Class,0,1,0.27,5,1.67,Art,12.51,1,"Dave Hallsten, Richmond, Kentucky",Low,1.67,1
1/20/2015,CA-2015-101931,6,Todd Sumrall,Corporate,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,O'Sullivan,Los Angeles,California,West,1/23/2015,First Class,0.15,-36,-0.06,617,120.98,Bookcases,18.39,1,"Todd Sumrall, Los Angeles, California",Loss,120.98,3
1/20/2015,CA-2015-101931,2,Todd Sumrall,Corporate,Premier Automatic Letter Opener,Office Supplies,Other,Los Angeles,California,West,1/23/2015,First Class,0,14,0.03,481,240.5,Supplies,18.39,1,"Todd Sumrall, Los Angeles, California",Low,240.5,3
1/20/2015,CA-2015-101931,2,Todd Sumrall,Corporate,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,Other,Los Angeles,California,West,1/23/2015,First Class,0,0,0.01,6,3,Supplies,18.39,1,"Todd Sumrall, Los Angeles, California",Loss,3,3
1/20/2015,CA-2015-101833,3,Frank Gastineau,Home Office,Southworth 100% Cotton The Best Paper,Office Supplies,Southworth,New York City,New York,East,1/23/2015,Second Class,0,17,0.5,34,11.33,Paper,0.94,1,"Frank Gastineau, New York City, New York",Low,11.33,3
1/20/2015,CA-2015-102274,3,Dave Hallsten,Corporate,Space Solutions Commercial Steel Shelving,Office Supplies,Space Solutions,Richmond,Kentucky,South,1/21/2015,Standard Class,0,10,0.05,194,64.67,Storage,12.51,1,"Dave Hallsten, Richmond, Kentucky",Low,64.67,1
1/20/2015,CA-2015-102008,1,Russell Applegate,Consumer,Tops Green Bar Computer Printout Paper,Office Supplies,Other,New York City,New York,East,2/1/2015,Standard Class,0,24,0.5,49,49,Paper,10.09,1,"Russell Applegate, New York City, New York",Low,49,12
1/20/2015,CA-2015-102645,6,Ionia McGrath,Consumer,Xerox 195,Office Supplies,Xerox,Las Vegas,Nevada,West,1/31/2015,Standard Class,0,19,0.48,40,6.67,Paper,9.59,1,"Ionia McGrath, Las Vegas, Nevada",Low,6.67,11
1/20/2015,CA-2015-102652,3,Andy Yotov,Corporate,Xerox 211,Office Supplies,Xerox,Los Angeles,California,West,1/23/2015,Standard Class,0,9,0.48,19,6.33,Paper,14.86,1,"Andy Yotov, Los Angeles, California",Low,6.33,3
1/21/2015,CA-2015-102652,7,Andy Yotov,Corporate,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,C-Line,Los Angeles,California,West,1/23/2015,Standard Class,0,13,0.39,33,4.71,Furnishings,14.86,1,"Andy Yotov, Los Angeles, California",Low,4.71,2
1/23/2015,CA-2015-102652,2,Andy Yotov,Corporate,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Tenex,Los Angeles,California,West,1/23/2015,Standard Class,0,16,0.17,92,46,Furnishings,14.86,1,"Andy Yotov, Los Angeles, California",Low,46,0
1/23/2015,CA-2015-102652,1,Andy Yotov,Corporate,Xerox 194,Office Supplies,Xerox,Los Angeles,California,West,1/23/2015,Standard Class,0,27,0.48,55,55,Paper,14.86,1,"Andy Yotov, Los Angeles, California",Low,55,0
1/26/2015,CA-2015-102673,12,Ken Heidel,Corporate,Avery 513,Office Supplies,Avery,Charlotte,North Carolina,South,2/2/2015,Standard Class,0.2,16,0.33,48,5,Labels,7.75,1,"Ken Heidel, Charlotte, North Carolina",Low,5,7
1/26/2015,CA-2015-102673,9,Ken Heidel,Corporate,Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,Cisco,Charlotte,North Carolina,South,2/2/2015,Standard Class,0.2,110,0.11,979,135.97,Phones,7.75,1,"Ken Heidel, Charlotte, North Carolina",High,135.97,7
1/26/2015,CA-2015-102869,3,Logan Currie,Consumer,"Master Caster Door Stop, Large Neon Orange",Furniture,Master Caster,Philadelphia,Pennsylvania,East,2/4/2015,Second Class,0.2,5,0.29,17,7.08,Furnishings,6.23,1,"Logan Currie, Philadelphia, Pennsylvania",Low,7.08,9
1/26/2015,CA-2015-102673,3,Ken Heidel,Corporate,Newell 320,Office Supplies,Newell,Charlotte,North Carolina,South,2/2/2015,Standard Class,0.2,1,0.09,10,4.17,Art,7.75,1,"Ken Heidel, Charlotte, North Carolina",Low,4.17,7
1/26/2015,CA-2015-102869,1,Logan Currie,Consumer,Polycom SoundPoint IP 450 VoIP phone,Technology,Polycom,Philadelphia,Pennsylvania,East,2/4/2015,Second Class,0.4,-32,-0.23,136,226.67,Phones,6.23,1,"Logan Currie, Philadelphia, Pennsylvania",Loss,226.67,9
1/26/2015,CA-2015-102869,6,Logan Currie,Consumer,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Technology,Other,Philadelphia,Pennsylvania,East,2/4/2015,Second Class,0.2,-5,-0.08,65,13.54,Accessories,6.23,1,"Logan Currie, Philadelphia, Pennsylvania",Loss,13.54,9
1/26/2015,CA-2015-102673,5,Ken Heidel,Corporate,Staples,Office Supplies,Other,Charlotte,North Carolina,South,2/2/2015,Standard Class,0.2,1,0.19,8,2,Fasteners,7.75,1,"Ken Heidel, Charlotte, North Carolina",Low,2,7
1/26/2015,CA-2015-102988,2,Greg Maxwell,Corporate,Xerox 1957,Office Supplies,Xerox,Alexandria,Virginia,South,2/1/2015,Second Class,0,6,0.49,13,6.5,Paper,1.91,1,"Greg Maxwell, Alexandria, Virginia",Low,6.5,6
1/26/2015,CA-2015-102869,3,Logan Currie,Consumer,Xerox 210,Office Supplies,Xerox,Philadelphia,Pennsylvania,East,2/4/2015,Second Class,0.2,5,0.35,16,6.67,Paper,6.23,1,"Logan Currie, Philadelphia, Pennsylvania",Low,6.67,9
1/27/2015,CA-2015-102988,1,Greg Maxwell,Corporate,AT&T CL82213,Technology,AT&T,Alexandria,Virginia,South,2/1/2015,Second Class,0,8,0.29,29,29,Phones,1.91,1,"Greg Maxwell, Alexandria, Virginia",Low,29,5
1/27/2015,CA-2015-102988,7,Greg Maxwell,Corporate,Crayola Colored Pencils,Office Supplies,Crayola,Alexandria,Virginia,South,2/1/2015,Second Class,0,8,0.33,23,3.29,Art,1.91,1,"Greg Maxwell, Alexandria, Virginia",Low,3.29,5
1/27/2015,CA-2015-102988,7,Greg Maxwell,Corporate,Newell 321,Office Supplies,Newell,Alexandria,Virginia,South,2/1/2015,Second Class,0,7,0.29,23,3.29,Art,1.91,1,"Greg Maxwell, Alexandria, Virginia",Low,3.29,5
1/28/2015,CA-2015-102988,5,Greg Maxwell,Corporate,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Martin-Yale,Alexandria,Virginia,South,2/1/2015,Second Class,0,83,0.02,4164,832.8,Supplies,1.91,1,"Greg Maxwell, Alexandria, Virginia",High,832.8,4
1/30/2015,CA-2015-103058,2,Alejandro Grove,Consumer,Case Logic 2.4GHz Wireless Keyboard,Technology,Other,New York City,New York,East,2/7/2015,First Class,0,8,0.08,100,50,Accessories,23.55,1,"Alejandro Grove, New York City, New York",Low,50,8
1/30/2015,CA-2015-103086,2,Evan Bailliet,Consumer,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,G. E.,Houston,Texas,Central,2/3/2015,Second Class,0.6,-2,-0.3,5,6.25,Furnishings,9.96,1,"Evan Bailliet, Houston, Texas",Loss,6.25,4
1/31/2015,CA-2015-103100,1,Adrian Barton,Consumer,Avery 487,Office Supplies,Avery,Indianapolis,Indiana,Central,2/8/2015,First Class,0,2,0.47,4,4,Labels,22.9,1,"Adrian Barton, Indianapolis, Indiana",Low,4,8
2/1/2015,CA-2015-103100,3,Adrian Barton,Consumer,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Ibico,Indianapolis,Indiana,Central,2/8/2015,First Class,0,497,0.45,1104,368,Binders,22.9,2,"Adrian Barton, Indianapolis, Indiana",High,368,7
2/2/2015,CA-2015-103219,9,Benjamin Farhat,Home Office,"Eldon 200 Class Desk Accessories, Black",Furniture,Eldon,New York City,New York,East,2/4/2015,Standard Class,0,21,0.38,57,6.33,Furnishings,10.09,2,"Benjamin Farhat, New York City, New York",Low,6.33,2
2/2/2015,CA-2015-103191,3,Vivek Grady,Corporate,"SAFCO Commercial Wire Shelving, Black",Office Supplies,SAFCO,Chicago,Illinois,Central,2/4/2015,Standard Class,0.2,-83,-0.25,332,138.33,Storage,13.2,2,"Vivek Grady, Chicago, Illinois",Loss,138.33,2
2/2/2015,CA-2015-103310,2,Greg Matthias,Consumer,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Southworth,San Jose,California,West,2/3/2015,Standard Class,0,19,0.48,40,20,Paper,11.02,2,"Greg Matthias, San Jose, California",Low,20,1
2/3/2015,CA-2015-103310,6,Greg Matthias,Consumer,Acme Design Stainless Steel Bent Scissors,Office Supplies,Acme,San Jose,California,West,2/3/2015,Standard Class,0,11,0.27,41,6.83,Supplies,11.02,2,"Greg Matthias, San Jose, California",Low,6.83,0
2/3/2015,CA-2015-103310,1,Greg Matthias,Consumer,Hon Pagoda Stacking Chairs,Furniture,Hon,San Jose,California,West,2/3/2015,Standard Class,0.2,32,0.13,257,321.25,Chairs,11.02,2,"Greg Matthias, San Jose, California",High,321.25,0
2/4/2015,CA-2015-103317,2,Don Miller,Corporate,Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Advantus,Palm Coast,Florida,South,2/5/2015,First Class,0.2,5,0.28,20,12.5,Furnishings,20.66,2,"Don Miller, Palm Coast, Florida",Low,12.5,1
2/4/2015,CA-2015-103310,5,Greg Matthias,Consumer,Wilson Electronics DB Pro Signal Booster,Technology,Other,San Jose,California,West,2/4/2015,Standard Class,0.2,125,0.09,1432,358,Phones,11.02,2,"Greg Matthias, San Jose, California",High,358,0
2/4/2015,CA-2015-103317,5,Don Miller,Corporate,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Wilson Jones,Palm Coast,Florida,South,2/5/2015,First Class,0.7,-7,-0.7,10,6.67,Binders,20.66,2,"Don Miller, Palm Coast, Florida",Loss,6.67,1
2/6/2015,CA-2015-103331,4,Karl Braun,Consumer,Acrylic Self-Standing Desk Frames,Furniture,Other,Newark,Delaware,East,2/7/2015,Standard Class,0,4,0.38,11,2.75,Furnishings,14.31,2,"Karl Braun, Newark, Delaware",Low,2.75,1
2/6/2015,CA-2015-103331,1,Karl Braun,Consumer,Avoid Verbal Orders Carbonless Minifold Book,Office Supplies,Other,Newark,Delaware,East,2/7/2015,Standard Class,0,2,0.46,3,3,Paper,14.31,2,"Karl Braun, Newark, Delaware",Low,3,1
2/6/2015,CA-2015-103317,3,Don Miller,Corporate,Luxo Adjustable Task Clamp Lamp,Furniture,Luxo,Palm Coast,Florida,South,2/6/2015,First Class,0.2,16,0.08,213,88.75,Furnishings,20.66,2,"Don Miller, Palm Coast, Florida",Low,88.75,0
2/6/2015,CA-2015-103331,3,Karl Braun,Consumer,Xerox 1978,Office Supplies,Xerox,Newark,Delaware,East,2/7/2015,Standard Class,0,8,0.49,17,5.67,Paper,14.31,2,"Karl Braun, Newark, Delaware",Low,5.67,1
2/7/2015,CA-2015-103373,2,Bruce Stewart,Consumer,Apple iPhone 5,Technology,Apple,Cleveland,Ohio,East,2/19/2015,Standard Class,0.4,-169,-0.22,780,650,Phones,10.45,2,"Bruce Stewart, Cleveland, Ohio",Loss,650,12
2/7/2015,CA-2015-103366,5,Erica Hackney,Consumer,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Logitech,Roswell,Georgia,South,2/14/2015,First Class,0,66,0.44,150,30,Accessories,22.25,2,"Erica Hackney, Roswell, Georgia",High,30,7
2/8/2015,CA-2015-103401,2,Georgia Rosenberg,Corporate,Xerox 211,Office Supplies,Xerox,San Francisco,California,West,2/10/2015,Standard Class,0,6,0.48,13,6.5,Paper,10.99,2,"Georgia Rosenberg, San Francisco, California",Low,6.5,2
2/11/2015,CA-2015-103527,3,Chris Cortes,Consumer,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Office Supplies,Ampad,Chicago,Illinois,Central,2/23/2015,Second Class,0.2,3,0.31,11,4.58,Paper,7.39,2,"Chris Cortes, Chicago, Illinois",Low,4.58,12
2/11/2015,CA-2015-103492,1,Craig Molinari,Corporate,Avery Non-Stick Binders,Office Supplies,Avery,Huntsville,Texas,Central,2/19/2015,Standard Class,0.8,-2,-1.75,1,5,Binders,9.94,2,"Craig Molinari, Huntsville, Texas",Loss,5,8
2/11/2015,CA-2015-103492,7,Craig Molinari,Corporate,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Cisco,Huntsville,Texas,Central,2/19/2015,Standard Class,0.2,66,0.09,756,135,Phones,9.94,2,"Craig Molinari, Huntsville, Texas",High,135,8
2/11/2015,CA-2015-103492,5,Craig Molinari,Corporate,GBC Personal VeloBind Strips,Office Supplies,GBC,Huntsville,Texas,Central,2/19/2015,Standard Class,0.8,-19,-1.6,12,12,Binders,9.94,2,"Craig Molinari, Huntsville, Texas",Loss,12,8
2/11/2015,CA-2015-103429,2,Laurel Workman,Corporate,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,GBC,New York City,New York,East,2/23/2015,First Class,0.2,9,0.35,26,16.25,Binders,23.55,2,"Laurel Workman, New York City, New York",Low,16.25,12
